kns_committee_id,kns_session_id,protocol_object_name,protocol_extension,text_object_name,parts_object_name
668,323517,protocols/original/668/323517.doc,doc,protocols/parsed/668/323517.txt,protocols/parsed/668/323517.csv
653,474166,protocols/original/653/474166.doc,doc,protocols/parsed/653/474166.txt,protocols/parsed/653/474166.csv
849,540371,protocols/original/849/540371.doc,doc,protocols/parsed/849/540371.txt,protocols/parsed/849/540371.csv
653,328617,protocols/original/653/328617.doc,doc,protocols/parsed/653/328617.txt,protocols/parsed/653/328617.csv
662,473071,protocols/original/662/473071.doc,doc,protocols/parsed/662/473071.txt,protocols/parsed/662/473071.csv
663,430862,protocols/original/663/430862.doc,doc,protocols/parsed/663/430862.txt,protocols/parsed/663/430862.csv
657,427762,protocols/original/657/427762.doc,doc,protocols/parsed/657/427762.txt,protocols/parsed/657/427762.csv
659,332972,protocols/original/659/332972.doc,doc,protocols/parsed/659/332972.txt,protocols/parsed/659/332972.csv
661,323385,protocols/original/661/323385.doc,doc,protocols/parsed/661/323385.txt,protocols/parsed/661/323385.csv
681,435137,protocols/original/681/435137.doc,doc,protocols/parsed/681/435137.txt,protocols/parsed/681/435137.csv
653,434942,protocols/original/653/434942.doc,doc,protocols/parsed/653/434942.txt,protocols/parsed/653/434942.csv
659,435029,protocols/original/659/435029.doc,doc,protocols/parsed/659/435029.txt,protocols/parsed/659/435029.csv
199,282933,protocols/original/199/282933.doc,doc,protocols/parsed/199/282933.txt,protocols/parsed/199/282933.csv
660,428535,protocols/original/660/428535.doc,doc,protocols/parsed/660/428535.txt,protocols/parsed/660/428535.csv
657,428388,protocols/original/657/428388.doc,doc,protocols/parsed/657/428388.txt,protocols/parsed/657/428388.csv
660,332923,protocols/original/660/332923.doc,doc,protocols/parsed/660/332923.txt,protocols/parsed/660/332923.csv
653,393010,protocols/original/653/393010.doc,doc,protocols/parsed/653/393010.txt,protocols/parsed/653/393010.csv
195,285531,protocols/original/195/285531.doc,doc,protocols/parsed/195/285531.txt,protocols/parsed/195/285531.csv
654,330218,protocols/original/654/330218.doc,doc,protocols/parsed/654/330218.txt,protocols/parsed/654/330218.csv
656,330300,protocols/original/656/330300.doc,doc,protocols/parsed/656/330300.txt,protocols/parsed/656/330300.csv
848,547579,protocols/original/848/547579.doc,doc,protocols/parsed/848/547579.txt,protocols/parsed/848/547579.csv
194,135965,protocols/original/194/135965.doc,doc,protocols/parsed/194/135965.txt,protocols/parsed/194/135965.csv
936,576914,protocols/original/936/576914.doc,doc,protocols/parsed/936/576914.txt,protocols/parsed/936/576914.csv
656,432484,protocols/original/656/432484.doc,doc,protocols/parsed/656/432484.txt,protocols/parsed/656/432484.csv
656,470670,protocols/original/656/470670.doc,doc,protocols/parsed/656/470670.txt,protocols/parsed/656/470670.csv
657,429894,protocols/original/657/429894.doc,doc,protocols/parsed/657/429894.txt,protocols/parsed/657/429894.csv
653,431107,protocols/original/653/431107.doc,doc,protocols/parsed/653/431107.txt,protocols/parsed/653/431107.csv
659,470680,protocols/original/659/470680.doc,doc,protocols/parsed/659/470680.txt,protocols/parsed/659/470680.csv
928,572269,protocols/original/928/572269.doc,doc,protocols/parsed/928/572269.txt,protocols/parsed/928/572269.csv
952,574117,protocols/original/952/574117.doc,doc,protocols/parsed/952/574117.txt,protocols/parsed/952/574117.csv
653,429074,protocols/original/653/429074.doc,doc,protocols/parsed/653/429074.txt,protocols/parsed/653/429074.csv
659,430529,protocols/original/659/430529.doc,doc,protocols/parsed/659/430529.txt,protocols/parsed/659/430529.csv
653,333437,protocols/original/653/333437.doc,doc,protocols/parsed/653/333437.txt,protocols/parsed/653/333437.csv
2022,2013586,protocols/original/2022/2013586.doc,doc,protocols/parsed/2022/2013586.txt,protocols/parsed/2022/2013586.csv
190,311813,protocols/original/190/311813.doc,doc,protocols/parsed/190/311813.txt,protocols/parsed/190/311813.csv
668,333445,protocols/original/668/333445.doc,doc,protocols/parsed/668/333445.txt,protocols/parsed/668/333445.csv
657,470468,protocols/original/657/470468.doc,doc,protocols/parsed/657/470468.txt,protocols/parsed/657/470468.csv
857,483006,protocols/original/857/483006.doc,doc,protocols/parsed/857/483006.txt,protocols/parsed/857/483006.csv
860,481948,protocols/original/860/481948.doc,doc,protocols/parsed/860/481948.txt,protocols/parsed/860/481948.csv
856,481504,protocols/original/856/481504.doc,doc,protocols/parsed/856/481504.txt,protocols/parsed/856/481504.csv
191,271229,protocols/original/191/271229.doc,doc,protocols/parsed/191/271229.txt,protocols/parsed/191/271229.csv
841,473288,protocols/original/841/473288.doc,doc,protocols/parsed/841/473288.txt,protocols/parsed/841/473288.csv
